Company Name,Company Type,Website
Kelly U. Fine Art Collection,Decor,http://www.kellyufineart.com/
Kicks n Buckets,Apparel,https://kicksnbuckets.com/
Klur,Health,https://klur.co/collections/shop
KNC Beauty,Skincare,kncbeauty.com
KNC Beauty,Beauty,https://kncbeauty.com/
KNKY Deli + Wandaren Style,Apparel,http://www.knkydeli.com/
Koko D.,Swimwear,http://www.kokodnyc.com/
Kolby Brianne,Apparel,http://www.kolbybrianne.com/
Kupcakerie,Food,https://www.kupcakerie.com/
La Botica,Candle,https://www.laboticanyc.com/
Lait de Coco,Vintage,https://laitdecocostudio.com/
Lalu's Roots N Conjure,Home Goods,https://www.etsy.com/shop/LalusRootsNConjure?source=aw&utm_source=affiliate_window&utm_medium=affiliate&utm_campaign=us_location_buyer&utm_term=3657&utm_content=304459&awc=6220_1592865544_4faa6239bb77885ce3d6b49421ef9e4c
Lauren Napier Beauty,Skincare,https://www.laurennapier.com/
Law Beauty Essentials,Beauty,https://www.lawbeautyessentials.com/
Leaves of Magic,Health,http://www.naturalbyafrica.com/
Lee Lee's Rugelach,Food,https://www.leeleesrugelach.com/
Lemlem,Apparel,https://www.lemlem.com/
LevanaNINE,Health,http://www.levananine.com/
Liha Beauty,Bath & Bodycare,https://lihabeauty.com/
Lingua Nigra,Apparel,https://linguanigra.com/
Linoto,Home Goods,https://www.linoto.com/
LipVoyage,Beauty,http://www.lipvoyage.com/
Lissa Beauty Kollection,Skincare,https://www.lissabeautykollection.co/
Lit Brooklyn,Candle,https://www.litbklyn.co/
LITerate Minds,Literature,https://www.literatemindsread.com/
Little Crystal Galaxy,Home Goods,https://www.etsy.com/shop/LittleCrystalGalaxy?source=aw&utm_source=affiliate_window&utm_medium=affiliate&utm_campaign=us_location_buyer&utm_term=3657&utm_content=304459&awc=6220_1592865689_62664bf81e6d6ea073f73ed018c7a904
Local European,Apparel,https://localeuropean.com/
Local European,Apparel/Accessories,https://localeuropean.com/
Local Green,Food,http://www.localgreenatlanta.com/
Lolly Lolly Ceramics,Home Goods,https://lolly-lolly.com/
Lou the French on the Block,Food,https://www.louthefrenchontheblock.com/
Love on 26 LLC,Health,http://www.loveon26.com/
